epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,478.542,1.56195,1.37973,1.13856,0.69581,0.63851,0.66132,0.34454,1.63332,1.67902,1.18158,0.000822003,0.000822003,0.000822003
43,492.425,1.4307,1.21972,1.08591,0.69581,0.63851,0.66132,0.34454,1.63332,1.67902,1.18158,0.000827782,0.000827782,0.000827782
44,506.095,1.36772,1.17672,1.05929,0.7107,0.61167,0.6347,0.33878,1.62626,1.62212,1.1885,0.000832902,0.000832902,0.000832902
45,518.949,1.44655,1.23337,1.13264,0.7107,0.61167,0.6347,0.33878,1.62626,1.62212,1.1885,0.000837361,0.000837361,0.000837361
46,531.006,1.57947,1.40402,1.13951,0.7589,0.56039,0.62674,0.31141,1.65254,1.69979,1.19112,0.00084116,0.00084116,0.00084116
47,543.505,1.38028,1.25312,1.1668,0.7589,0.56039,0.62674,0.31141,1.65254,1.69979,1.19112,0.000844299,0.000844299,0.000844299
48,555.365,1.40891,1.21034,1.11619,0.74008,0.53477,0.60483,0.3016,1.64508,1.8596,1.15686,0.000846778,0.000846778,0.000846778
49,567.084,1.47182,1.32439,1.11673,0.74008,0.53477,0.60483,0.3016,1.64508,1.8596,1.15686,0.000848596,0.000848596,0.000848596
50,578.584,1.53587,1.23728,1.12639,0.73552,0.53379,0.57426,0.32769,1.56194,2.01532,1.12804,0.000849755,0.000849755,0.000849755
51,591.892,1.68953,1.50304,1.18211,0.73552,0.53379,0.57426,0.32769,1.56194,2.01532,1.12804,0.000841835,0.000841835,0.000841835
52,606.356,1.37076,1.20427,1.06771,0.72558,0.50965,0.56875,0.32839,1.51694,1.96698,1.12935,0.000825332,0.000825332,0.000825332
53,620.358,1.56885,1.34287,1.17391,0.72558,0.50965,0.56875,0.32839,1.51694,1.96698,1.12935,0.000808828,0.000808828,0.000808828
54,634.704,1.55679,1.29153,1.12887,0.72915,0.50282,0.58966,0.34849,1.55369,1.86194,1.13798,0.000792325,0.000792325,0.000792325
55,648.644,1.5906,1.35591,1.18278,0.72915,0.50282,0.58966,0.34849,1.55369,1.86194,1.13798,0.000775822,0.000775822,0.000775822
